ID,Box,Bat_species,Bat_SampleID,Ecto_type,Ecto_genus,Ecto_species,Ecto_ID,Count,Male,Female,Notes,Photo
AFA,Ziplock,Eiodolon_dupreaneum,WAY035,Mite,Meristapsis,Meristapsis_spp1,WAY035_M1,4,1,3,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY044,Mite,Meristapsis,Meristapsis_spp1,WAY044_M1,1,1,0,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY044,Ticks,Ornithodoros,Ornithodoros_sp1,WAY044_Or,1,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY041,Bat fly,Cyclopodia,Cyclopodia_dubia,WAY041_Cd,3,2,1,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY041,Flea,Thaumapsylla,Thaumapsylla_sp,WAY041_Th,1,0,1,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY041,Mite,Meristapsis,Meristapsis_spp1,WAY041_M1,2,1,1,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY041,Mite,NA,Mite_2,WAY041_M2,1,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY041,Ticks,Ornithodoros,Ornithodoros_sp1,WAY041_Or,8,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY040,Bat fly,Cyclopodia,Cyclopodia_dubia,WAY040_Cd,4,2,2,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY040,Flea,Thaumapsylla,Thaumapsylla_sp,WAY040_Th,3,2,1,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY040,Mite,Meristapsis,Meristapsis_spp1,WAY040_M1,2,0,2,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY040,Ticks,Ornithodoros,Ornithodoros_sp1,WAY040_Or,7,NA,NA,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY045,Bat fly,Cyclopodia,Cyclopodia_dubia,WAY045_Cd,1,0,1,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY045,Mite,Meristapsis,Meristapsis_spp1,WAY045_M1,1,0,1,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY034,Bat fly,Cyclopodia,Cyclopodia_dubia,WAY034_Cd,3,1,2,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY034,Flea,Thaumapsylla,Thaumapsylla_sp,WAY034_Th,1,0,1,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY034,Mite,Meristapsis,Meristapsis_spp1,WAY034_M1,1,0,1,Not scratch pened,
AFA,Ziplock,Eiodolon_dupreaneum,WAY027,Bat fly,Cyclopodia,Cyclopodia_dubia,WAY027_Cd,3,2,1,Not scratch pened,
