sampleid,roost_site,latitude_s,longitude_e,researchers_present,sampling_session,processing_date,processing_time_start,processing_time_end,bat_species,recap,bat_sex,bat_age_class,young_of_year,pupmom_pair,pup_or_mom,sampleid_pupmom_pair,bat_weight_g,bat_forearm_mm,bat_flies,meglastreblidae,fleas,mites,ticks,t_star,total_ectos
MIZ416,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/9/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,67,71,1,0,35,5,0,NA,41
MIZ417,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/10/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,80,73.36,19,0,0,3,0,NA,22
MIZ418,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/10/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,85,73.8,16,0,0,2,0,NA,18
MIZ419,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/10/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,60,70,11,0,0,4,0,NA,15
MIZ420,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/10/19,NA,NA,Rousettus madagascariensis,no,female,NL,no,no,NA,NA,50,68.3,7,0,0,2,18,NA,27
MIZ421,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/10/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,40,67.2,9,0,0,2,0,NA,11
MIZ422,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/10/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,70,72,11,0,0,3,0,NA,14
MIZ423,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/10/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,55,69.2,14,1,0,5,0,NA,20
MIZ424,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/10/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,65,72.4,17,0,0,26,0,NA,43
MIZ425,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/10/19,NA,NA,Rousettus madagascariensis,no,female,NL,no,no,NA,NA,55,73,29,0,0,4,0,NA,33
MIZ426,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/10/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,65,72,14,0,0,5,0,NA,19
MIZ427,Maromizaha_Rmad,-18.9623,48.4525,"FR, KR, CR, AG",65,4/10/19,NA,NA,Rousettus madagascariensis,no,male,J,no,no,NA,NA,35,60,3,0,0,0,0,NA,3
MIZ544,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/13/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,120,73.1,1,0,0,2,1,NA,4
MIZ550,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/13/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,79.5,70.7,4,0,0,4,0,NA,8
MIZ551,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/13/19,NA,NA,Rousettus madagascariensis,yes,male,A,no,no,NA,NA,65,69.9,1,0,0,12,0,NA,13
MIZ552,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/13/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,61,73.6,6,0,0,16,0,NA,22
MIZ553,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/13/19,NA,NA,Rousettus madagascariensis,yes,male,A,no,no,NA,NA,67,68.3,13,0,0,16,0,NA,29
MIZ554,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/13/19,NA,NA,Rousettus madagascariensis,no,female,P,no,no,NA,NA,67,70.7,9,0,4,25,0,NA,38
MIZ555,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/13/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,62,70.8,3,1,0,10,0,NA,14
MIZ556,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/13/19,NA,NA,Rousettus madagascariensis,yes,male,A,no,no,NA,NA,70,72.4,6,0,0,22,0,NA,28
MIZ557,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/13/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,67,75.7,9,0,1,3,0,NA,13
MIZ558,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/13/19,NA,NA,Rousettus madagascariensis,yes,male,A,no,no,NA,NA,66,75.9,2,1,0,16,0,NA,19
MIZ559,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/13/19,NA,NA,Rousettus madagascariensis,yes,male,A,no,no,NA,NA,65,69.8,2,3,0,21,0,NA,26
MIZ560,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/14/19,NA,NA,Rousettus madagascariensis,yes,male,A,no,no,NA,NA,65,70.3,17,1,0,10,0,NA,28
MIZ561,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/14/19,NA,NA,Rousettus madagascariensis,yes,male,A,no,no,NA,NA,74.5,71.2,7,0,0,5,0,NA,12
MIZ562,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/14/19,NA,NA,Rousettus madagascariensis,yes,male,A,no,no,NA,NA,70,66.6,5,4,0,8,0,NA,17
MIZ563,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/14/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,74.5,70.6,5,2,0,6,0,NA,13
MIZ565,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/14/19,NA,NA,Rousettus madagascariensis,yes,female,P,no,no,NA,NA,60,66.6,3,0,0,7,0,NA,10
MIZ566,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/14/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,64,73.8,9,1,0,11,0,NA,21
MIZ567,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/14/19,NA,NA,Rousettus madagascariensis,yes,male,A,no,no,NA,NA,66,75,8,3,0,20,0,NA,31
MIZ568,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/14/19,NA,NA,Rousettus madagascariensis,yes,male,A,no,no,NA,NA,67,74.4,3,2,0,55,0,NA,60
MIZ569,Maromizaha_Rmad,-18.9623,48.4525,"AA, AS, FR",85,11/14/19,NA,NA,Rousettus madagascariensis,yes,male,A,no,no,NA,NA,65,72.9,1,0,0,9,0,NA,10
RTC001,Ankarana_Cathedral_Rmad,-12.952901,49.046885,"SG, AA",80,9/28/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,60,72.7,7,0,0,0,6,NA,13
RTC002,Ankarana_Cathedral_Rmad,-12.952901,49.046885,"SG, AA",80,9/28/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,47,68.2,3,0,0,8,0,NA,11
RTC006,Ankarana_Cathedral_Rmad,-12.952901,49.046885,"SG, AA",84,11/4/19,NA,NA,Rousettus madagascariensis,no,female,P,no,no,NA,NA,52,70.1,6,1,0,2,3,NA,12
RTC007,Ankarana_Cathedral_Rmad,-12.952901,49.046885,"SG, AA",84,11/4/19,NA,NA,Rousettus madagascariensis,no,male,J,yes,no,NA,NA,40,64.8,2,0,0,2,9,NA,13
RTC008,Ankarana_Cathedral_Rmad,-12.952901,49.046885,"SG, AA",84,11/4/19,NA,NA,Rousettus madagascariensis,no,female,P,no,no,NA,NA,52,69,1,0,0,2,3,NA,6
RTC009,Ankarana_Cathedral_Rmad,-12.952901,49.046885,"SG, AA",84,11/4/19,NA,NA,Rousettus madagascariensis,no,male,J,yes,no,NA,NA,41,66.5,2,0,1,0,0,NA,3
RTC010,Ankarana_Cathedral_Rmad,-12.952901,49.046885,"SG, AA",84,11/4/19,NA,NA,Rousettus madagascariensis,no,male,A,no,no,NA,NA,47,71,7,1,0,2,0,NA,10
RTC011,Ankarana_Cathedral_Rmad,-12.952901,49.046885,"SG, AA",84,11/4/19,NA,NA,Rousettus madagascariensis,no,female,P,no,no,NA,NA,55,72.8,5,0,0,5,7,NA,17
RTC012,Ankarana_Cathedral_Rmad,-12.952901,49.046885,"SG, AA",84,11/5/19,NA,NA,Rousettus madagascariensis,no,female,J,yes,no,NA,NA,39,62.6,2,0,0,14,5,NA,21
